model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0030000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:52:23,0.7441509366035461,0.23428097367286682,5000,0:04:30.771011,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:53:51,1.5409945249557495,0.2308121770620346,5000,0:04:34.735091,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:56:59,0.6641873717308044,0.2364964783191681,5000,0:04:30.084892,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:58:32,0.28635942935943604,0.23438425362110138,5000,0:04:32.949600,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:01:35,0.6504389643669128,0.23737040162086487,5000,0:04:30.792530,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:03:11,0.5328532457351685,0.23636242747306824,5000,0:04:33.422115,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:06:12,37.916988372802734,0.114562027156353,5000,0:04:30.410530,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:07:51,0.6513887643814087,0.23731176555156708,5000,0:04:32.739855,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:10:48,81.28516387939453,0.07394418120384216,5000,0:04:29.849489,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:12:30,55.811073303222656,0.11557859182357788,5000,0:04:37.244797,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:15:24,15.863356590270996,0.12992292642593384,5000,0:04:30.307822,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:17:13,60.31807327270508,0.07395785301923752,5000,0:04:34.357641,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:20:00,7.8273091316223145,0.1420242190361023,5000,0:04:30.297801,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:21:54,19.298200607299805,0.13007940351963043,5000,0:04:34.563573,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:24:36,4.25709867477417,0.14840760827064514,5000,0:04:31.217718,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:26:35,5.405139446258545,0.1422935575246811,5000,0:04:33.680918,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:29:13,2.3495140075683594,0.16351962089538574,5000,0:04:30.230898,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:31:14,2.0238606929779053,0.1480730175971985,5000,0:04:34.114160,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:33:49,0.6847238540649414,0.1689673662185669,5000,0:04:30.271690,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:35:55,3.053757429122925,0.16375525295734406,5000,0:04:33.894549,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:38:25,0.3480474650859833,0.16451476514339447,5000,0:04:29.998024,cimsir,basalt.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:40:35,0.7027188539505005,0.16909801959991455,5000,0:04:34.743882,cimsir,arkose.cip.ifi.lmu.de
0040000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:45:23,0.17238788306713104,0.15693551301956177,5000,0:04:30.622296,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:50:00,224.0831756591797,0.06087382882833481,5000,0:04:31.100572,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:52:25,122.33244323730469,0.0604141503572464,5000,0:04:38.171837,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:54:36,221.06692504882812,0.04305083304643631,5000,0:04:30.661375,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:57:09,240.4809112548828,0.042479392141103745,5000,0:04:33.712799,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 08:59:13,27.127426147460938,0.07627620548009872,5000,0:04:30.659460,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:01:49,42.10515213012695,0.07742448896169662,5000,0:04:33.529596,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:06:12,4.795406818389893,0.09399775415658951,5000,0:04:30.565487,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:06:29,8.27219295501709,0.0858384370803833,5000,0:04:33.381349,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:10:48,5.49746036529541,0.10642746835947037,5000,0:04:30.971831,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:11:09,8.731741905212402,0.09324893355369568,5000,0:04:33.987900,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:17:47,0.5330413579940796,0.10827350616455078,5000,0:04:31.428402,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:18:13,2.1058943271636963,0.11160556972026825,5000,0:04:32.194198,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:22:24,0.866449236869812,0.10319632291793823,5000,0:04:30.687403,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:22:52,0.4595373868942261,0.10830382257699966,5000,0:04:31.073522,cimsir,arkose.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:27:01,0.22717438638210297,0.10290543735027313,5000,0:04:29.985613,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:27:29,0.4684597849845886,0.10317210108041763,5000,0:04:33.092921,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:31:37,476.0841064453125,0.03943028301000595,5000,0:04:30.597883,cimsir,basalt.cip.ifi.lmu.de
0050000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:32:08,0.441976398229599,0.10291720926761627,5000,0:04:32.453525,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:36:47,636.4303588867188,0.04013015702366829,5000,0:04:37.351728,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:40:50,89.84485626220703,0.049251049757003784,5000,0:04:30.846587,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:41:30,32263.240234375,0.025844868272542953,5000,0:04:32.793071,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:45:27,34.266136169433594,0.05169674754142761,5000,0:04:30.590948,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:46:09,82.03308868408203,0.0485982820391655,5000,0:04:32.810427,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:50:04,14.489892959594727,0.05495315417647362,5000,0:04:30.258408,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:50:48,26.118549346923828,0.05211235582828522,5000,0:04:32.343447,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:54:40,6.805667877197266,0.06141284853219986,5000,0:04:30.291580,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:55:27,13.036466598510742,0.05487798899412155,5000,0:04:34.107418,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 09:59:17,0.6390059590339661,0.06495707482099533,5000,0:04:30.012578,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:00:07,1.7307724952697754,0.06124928593635559,5000,0:04:33.842178,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:04:47,3.9498772621154785,0.06488102674484253,5000,0:04:33.725557,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:06:15,0.5327228903770447,0.06117923557758331,5000,0:04:29.939994,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:09:27,0.8561402559280396,0.06363091617822647,5000,0:04:33.298278,cimsir,arkose.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:10:50,0.5675535798072815,0.0611964650452137,5000,0:04:29.840627,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:14:07,0.6473482847213745,0.06115775927901268,5000,0:04:34.119510,cimsir,arkose.cip.ifi.lmu.de
0070000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:15:26,749.5623779296875,0.03365901857614517,5000,0:04:34.805273,cimsir,basalt.cip.ifi.lmu.de
0060000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:18:47,0.8045229315757751,0.06121101230382919,5000,0:04:32.792181,cimsir,arkose.cip.ifi.lmu.de
0070000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:23:26,953.120361328125,0.032722100615501404,5000,0:04:37.782196,cimsir,arkose.cip.ifi.lmu.de
0070000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:24:44,223.6446075439453,0.03360878303647041,5000,0:04:30.902396,cimsir,basalt.cip.ifi.lmu.de
0070000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:29:21,89.56997680664062,0.03331803157925606,5000,0:04:30.625685,cimsir,basalt.cip.ifi.lmu.de
0070000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 10:32:50,180.90643310546875,0.03407025709748268,5000,0:04:34.488115,cimsir,arkose.cip.ifi.lmu.de
